id,item,customer_id,data,commission,gst,tax,shippingcharge,price,final_price
1,Item A,101,2024-09-01,10,1.5,0.5,2,20,24
2,Item B,102,2024-09-02,5,0.75,0.25,1.5,10,12.5
3,Item C,103,2024-09-03,15,2.25,0.75,3,30,36.25
4,Item A,101,2024-09-04,10,1.5,0.5,2,20,24
5,Item B,102,2024-09-05,5,0.75,0.25,1.5,10,12.5
6,Item C,103,2024-09-06,15,2.25,0.75,3,30,36.25
7,Item D,104,2024-09-07,20,3,1,4,40,48
8,Item A,101,2024-09-08,10,1.5,0.5,2,20,24
9,Item E,105,2024-09-09,8,1.2,0.4,1,16,19.2
10,Item D,104,2024-09-10,20,3,1,4,40,48
